时间,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点,PE-TTM(扣非) 50%分位点,PE-TTM(扣非) 20%分位点
2020-12-11,109.8,109.8,1645.67,109.8,140258884536,66117932208,44.6969,0.9113,40.1935,33.5928,28.8654
2020-12-10,103.53,103.53,1559.34,103.53,132249565719.6,62342345369,42.1445,0.857,40.1935,33.5928,28.8654
2020-12-09,100.33,100.33,1515.28,100.33,128161875095.6,60415411097,40.8419,0.8208,40.1935,33.5928,28.8654
2020-12-08,99.84,99.84,1508.53,99.84,127535947468.8,60120349286,40.6424,0.8133,40.1935,33.5928,28.8654
2020-12-07,100.16,100.16,1512.94,100.16,127944716531.2,60313042714,40.7727,0.8186,40.1935,33.5928,28.8654
2020-12-04,101.15,101.15,1526.57,101.15,129209345818,60909188004,41.1757,0.8336,40.1935,33.5928,28.8654
2020-12-03,98.56,98.56,1490.91,98.56,125900871219.2,59349575578,40.1214,0.797,40.1935,33.5928,28.8654
2020-12-02,98.49,98.49,1489.94,98.49,125811452986.8,59307423890,40.0929,0.7961,40.2036,33.5928,28.8654
2020-12-01,97.49,97.49,1476.17,97.49,124534049666.8,58705256930,39.6858,0.7798,40.2109,33.5928,28.8654
2020-11-30,95.27,95.27,1445.61,95.27,121698214296.4,57368446279,38.7821,0.7476,40.2591,33.5928,28.8654
2020-11-27,96.35,96.35,1460.48,96.35,123077809882,58018786596,39.2217,0.7626,40.2681,33.5928,28.8654
2020-11-26,95.9,95.9,1454.28,95.9,122502978388,57747811464,39.0386,0.7542,40.2689,33.5928,28.8654
2020-11-25,96.2,96.2,1458.41,96.2,122886199384,57928461552,39.1607,0.7582,40.2828,33.5928,28.8654
2020-11-24,97.58,97.58,1477.41,97.58,124649015965.6,58759451957,39.7224,0.7789,40.2999,33.5928,28.8654
2020-11-23,98.1,98.1,1484.57,98.1,125313265692,59072578776,39.9341,0.7864,40.3058,33.5928,28.8654
2020-11-20,97.85,97.85,1481.13,97.85,124993914862,58922037036,39.8324,0.7824,40.318,33.5928,28.8654
2020-11-19,96.3,96.3,1459.79,96.3,123013939716,57988678248,39.2014,0.7608,40.3505,33.5928,28.8654
2020-11-18,96.6,96.6,1463.92,96.6,123397160712,58169328336,39.3235,0.7639,40.375,33.5928,28.8654
2020-11-17,96.36,96.36,1460.62,96.36,123090583915.2,58024808266,39.2258,0.7613,40.3963,33.5928,28.8654
2020-11-16,97.05,97.05,1470.12,97.05,123971992206,58440303468,39.5067,0.7692,40.4104,33.5928,28.8654
2020-11-13,97.41,97.41,1475.07,97.41,124431857401.2,58657083574,39.6532,0.7749,40.4104,33.5928,28.8654
2020-11-12,98.78,98.78,1493.94,98.78,126181899949.6,59482052309,40.2109,0.7944,40.4178,33.5928,28.8654
2020-11-11,99.98,99.98,1510.46,99.98,127714783933.6,60204652661,40.6994,0.808,40.4246,33.5928,28.8654
2020-11-10,101.19,101.19,1527.12,101.19,129260441950.8,60933274682,41.192,0.827,40.4246,33.5928,28.8654
2020-11-09,102.91,102.91,1550.8,102.91,131457575661.2,61969001854,41.8922,0.8433,40.4246,33.5928,28.8654
2020-11-06,100.69,100.69,1520.23,100.69,128621740290.8,60632191202,40.9884,0.8195,40.4246,33.5928,28.8654
2020-11-05,102.21,102.21,1541.16,102.21,130563393337.2,61547484982,41.6072,0.8363,40.4246,33.5928,28.8654
2020-11-04,100,100,1510.73,100,127740332000,60216696000,40.7076,0.808,40.4246,33.5928,28.8654
2020-11-03,101.07,101.07,1525.47,101.07,129107153552.4,60861014647,41.1431,0.8248,40.4246,33.5928,28.8654
2020-11-02,100.58,100.58,1518.72,100.58,128481225925.6,60565952837,40.9437,0.8186,40.4246,33.5928,28.8654
2020-10-30,102.96,102.96,1551.49,102.96,131521445827.2,61999110202,41.9125,0.8411,40.4246,33.5928,28.8654
2020-10-29,104.52,104.52,1572.97,104.52,133514195006.4,62938490659,44.4603,0.8945,40.4246,33.5928,28.8654
2020-10-28,102.5,102.5,1545.16,102.5,130933840300,61722113400,43.601,0.88,40.4246,33.5928,28.8654
2020-10-27,100.9,100.9,1523.13,100.9,128889994988,60758646264,42.9204,0.8614,40.4246,33.5928,28.8654
2020-10-26,99.5,99.5,1503.85,99.5,127101630340,59915612520,42.3249,0.8482,40.4246,33.5928,28.8654
2020-10-23,101.82,101.82,1535.79,101.82,130065206042.4,61312639867,43.3118,0.8716,40.4246,33.5928,28.8654
2020-10-22,102.2,102.2,1541.03,102.2,130550619304,61541463312,43.4734,0.876,40.4246,33.5928,28.8654
2020-10-21,102.99,102.99,1551.9,102.99,131559767926.8,62017175210,43.8094,0.8826,40.4246,33.5928,28.8654
2020-10-20,104.12,104.12,1567.46,104.12,133003233678.4,62697623875,44.2901,0.8888,40.4246,33.5928,28.8654
2020-10-19,103.4,103.4,1557.55,103.4,132083503288,62264063664,43.9839,0.8853,40.4246,33.5928,28.8654
2020-10-16,105.8,105.8,1590.59,105.8,135149271256,63709264368,45.0048,0.8994,40.4246,33.5928,28.8654
2020-10-15,105.18,105.18,1582.06,105.18,134357281197.6,63335920853,44.741,0.8941,40.4246,33.5928,28.8654
2020-10-14,106.8,106.8,1604.36,106.8,136426674576,64311431328,45.4301,0.9064,40.4246,33.5928,28.8654
2020-10-13,107.7,107.7,1616.76,107.7,137576337564,64853381592,45.813,0.9113,40.4246,33.5928,28.8654
2020-10-12,107.61,107.61,1615.52,107.61,137461371265.2,64799186566,45.7747,0.9104,40.4246,33.5928,28.8654
2020-10-09,104.17,104.17,1568.15,104.17,133067103844.4,62727732223,44.3114,0.8892,40.4246,33.5928,28.8654
2020-09-30,101.96,101.96,1537.72,101.96,130244042507.2,61396943242,43.3713,0.8721,40.4529,33.5961,28.8654
2020-09-29,101.96,101.96,1537.72,101.96,130244042507.2,61396943242,43.3713,0.8721,40.4529,33.5961,28.8654
2020-09-28,100.8,100.8,1521.75,100.8,128762254656,60698429568,42.8779,0.8593,40.4529,33.5961,28.8654
2020-09-25,102.8,102.8,1549.29,102.8,131317061296,61902763488,43.7286,0.8774,40.4529,33.5961,28.8654
2020-09-24,102.8,102.8,1549.29,102.8,131317061296,61902763488,43.7286,0.8778,40.4246,33.5928,28.8654
2020-09-23,106.25,106.25,1596.79,106.25,135724102750,63980239500,45.1962,0.9011,40.4178,33.5905,28.8654
2020-09-22,105.68,105.68,1588.94,105.68,134995982857.6,63637004333,44.9537,0.8953,40.4104,33.5881,28.8654
2020-09-21,106.75,106.75,1603.67,106.75,136362804410,64281322980,45.4089,0.9033,40.4104,33.5881,28.8654
2020-09-18,108.65,108.65,1629.84,108.65,138789870718,65425440204,46.2171,0.913,40.4104,33.5881,28.8654
2020-09-17,105.99,105.99,1593.21,105.99,135391977886.8,63823676090,45.0856,0.8993,40.4104,33.5881,28.8654
2020-09-16,109.22,109.22,1637.68,109.22,139517990610.4,65768675371,46.4595,0.9161,40.4104,33.5881,28.8654
2020-09-15,110.35,110.35,1653.24,110.35,140961456362,66449124036,46.9402,0.9223,40.4104,33.5881,28.8654
2020-09-14,111,111,1662.19,111,141791768520,66840532560,47.2167,0.9262,40.4104,33.5881,28.8654
2020-09-11,114,114,1703.5,114,145623978480,68647033440,48.4928,0.9404,40.4104,33.5881,28.8654
2020-09-10,107.33,107.33,1611.66,107.33,137103698335.6,64630579817,45.6556,0.9055,40.4104,33.5881,28.8654
2020-09-09,105.96,105.96,1592.8,105.96,135353655787.2,63805611082,45.0728,0.8989,40.4104,33.5881,28.8654
2020-09-08,109.35,109.35,1639.47,109.35,139684053042,65846957076,46.5148,0.9156,40.4104,33.5881,28.8654
2020-09-07,108,108,1620.89,108,137959558560,65034031680,45.9406,0.9081,40.4104,33.5881,28.8654
2020-09-04,113,113,1689.73,113,144346575160,68044866480,48.0675,0.9342,40.4104,33.5881,28.8654
2020-09-03,120,120,1786.11,120,153288398400,72260035200,51.0451,0.9545,40.4104,33.5881,28.8654
2020-09-02,125.4,125.4,1860.47,125.4,160186376328,75511736784,53.3421,0.9704,40.4104,33.5881,28.8654
2020-09-01,119.56,119.56,1780.05,119.56,152726340939.2,71995081738,50.8579,0.9523,40.4104,33.5881,28.8654
2020-08-31,115.71,115.71,1727.04,115.71,147808338157.2,69676738942,49.2202,0.9457,40.4104,33.5881,28.8654
2020-08-28,114.6,114.6,1711.76,114.6,146390420472,69008333616,56.5432,0.9872,40.4104,33.5881,28.8654
2020-08-27,106.88,106.88,1605.46,106.88,136528866841.6,64359604685,52.7342,0.966,40.4104,33.5881,28.8654
2020-08-26,104.76,104.76,1576.27,104.76,133820771803.2,63083010730,51.6882,0.9589,40.4104,33.5881,28.8654
2020-08-25,103.23,103.23,1555.21,103.23,131866344723.6,62161695281,50.9333,0.9523,40.4104,33.5881,28.8654
2020-08-24,104.28,104.28,1569.67,104.28,133207618209.6,62793970589,51.4514,0.9558,40.4104,33.5881,28.8654
2020-08-21,103.41,103.41,1557.69,103.41,132096277321.2,62270085334,51.0221,0.9527,40.4104,33.5881,28.8654
2020-08-20,101.3,101.3,1528.63,101.3,129400956316,60999513048,49.9811,0.9496,40.4104,33.5881,28.8654
2020-08-19,102.97,102.97,1551.63,102.97,131534219860.4,62005131871,50.805,0.951,40.4104,33.5881,28.8654
2020-08-18,104.63,104.63,1574.48,104.63,133654709371.6,63004729025,51.6241,0.9563,40.4104,33.5881,28.8654
2020-08-17,104.54,104.54,1573.25,104.54,133539743072.8,62950533998,51.5797,0.9558,40.4104,33.5881,28.8654
2020-08-14,103.86,103.86,1563.88,103.86,132671108815.2,62541060466,51.2442,0.9523,40.4104,33.5881,28.8654
